Age,MonthlyIncome,MonthlyProfit,LoanAmount,TenureMonths,MonthlyInstallment,InterestRate,DebtToIncome,InstallmentToProfit,LoanType,RepaymentStructure,Sector,Willingness,ExchangeRate,EconomicPhase,Inflation,Default,CompositeCreditScore
59,1938.2208696984183,1722.6948409891836,17645.881025651546,40,441.1470256412887,15.523496479794503,0.2276041046394934,0.25607961151609354,Secured,Equal Installment,Manufacturing,0.39366537538113805,12.69377539418286,Growth,9.916938447193141,0,0.086
49,3344.3295134691575,2486.2110438664536,15775.704017176358,13,1213.5156936289507,12.045471225432784,0.36285769352019986,0.4880984245576115,Unsecured,Bullet,Salaried,0.7313887034077508,12.956076804766063,Recession,12.267885851577699,1,0.134
35,3198.2332561446924,2046.2377890493642,15943.395075811954,29,549.7722439935156,16.803105014603073,0.1718987328198313,0.2686746608510868,Unsecured,Bullet,SME,0.19802573757255126,11.643946997002763,Recession,6.0,0,0.103
63,3682.72400936357,2009.4353192313745,6652.387584711618,24,277.1828160296507,17.830505319290015,0.07526570422461608,0.1379406509763526,Unsecured,Interest Only,Agriculture,0.42426472247948044,14.038085787369955,Growth,11.354990656694607,1,0.082
28,1950.231943506358,1093.1025304543407,9373.480388279593,41,228.62147288486813,12.192663348046233,0.11722783725602677,0.20914915711506327,Secured,Bullet,Trade,0.45313610974004515,12.016615913619198,Recession,7.6518074717843145,0,0.041
41,2519.5525521989366,1486.8554144643736,20619.78974989784,55,374.9052681799607,14.050875275638695,0.14879835225217372,0.2521464189004665,Secured,Interest Only,Manufacturing,0.16137387275917656,12.158890441397768,Recession,11.513561431236988,0,0.09
59,3611.2537396033267,2168.1485875140283,32108.783797222226,57,563.3119964424952,15.85958301535288,0.15598793024839386,0.2598124499799073,Secured,Bullet,Salaried,0.08403141133803967,13.519095186501819,Recession,7.571172360850354,0,0.122
39,4496.79246627807,3778.4137853771067,15093.113499853738,48,314.4398645802862,9.3718311458303,0.06992536723415736,0.08322007128949307,Secured,Bullet,SME,0.17318531122180753,12.828105465225981,Recovery,7.445144176321775,0,0.127
43,4159.1064095515085,3013.2273231486415,14857.941576411537,32,464.3106742628605,15.859230091508065,0.11163712310811706,0.15409082172322922,Unsecured,Bullet,SME,0.3488472438861067,13.203145628387215,Recovery,15.814803505261706,1,0.125
31,3098.465845383357,2197.9164677626954,33612.16856336588,37,908.4369881990777,9.275925407682418,0.2931892857727084,0.41331734009154336,Secured,Equal Installment,Trade,0.26933320198233174,12.754600409476197,Recovery,14.208342164372569,0,0.1
31,2415.125971294623,1318.4354989063243,11133.940305472106,19,585.9968581827425,17.262867918211477,0.24263614616699275,0.444463804766211,Secured,Interest Only,SME,0.2190969919273949,14.69567301220485,Recession,10.987572245167536,0,0.095
44,3484.5846704151663,2941.184171152,6710.054698348624,23,291.74150862385324,13.259345349487203,0.08372346670201418,0.09919185322882525,Secured,Equal Installment,SME,0.13844417239497292,11.88996322331366,Recovery,11.554305950747072,0,0.089
56,1690.3314752478354,1333.884044612971,13371.876510900001,33,405.2083791181819,9.253829063823062,0.23972125293281335,0.3037808126985685,Unsecured,Bullet,Trade,0.14654278243889482,12.442229463752785,Recession,10.256251922770973,0,0.056
60,2019.5982728869271,1064.4642991723958,14697.724169645071,34,432.2860049895609,12.680105603436703,0.21404554103308232,0.40610662595791747,Unsecured,Equal Installment,Manufacturing,0.3410801952659176,13.577405869095072,Growth,12.70962912793857,0,0.083
44,4811.725574951548,3768.2260835512916,6020.375322439477,21,286.6845391637846,12.849301675226231,0.05958040098050924,0.0760794423708262,Secured,Interest Only,Agriculture,0.22662661650385416,11.814498599630777,Recession,8.971836900353585,0,0.107
23,3482.4413760563066,2498.35667904492,18975.66634980311,40,474.39165874507773,19.274083533547778,0.13622387501101396,0.18988147798273133,Unsecured,Bullet,Agriculture,0.248131863936149,11.761331941124949,Recovery,13.981220788603872,1,0.083
42,2582.967919472454,1375.921538244916,27587.570798892284,52,530.5302076710054,15.693218797143176,0.20539558531542312,0.3855817304435351,Unsecured,Equal Installment,Salaried,0.011288886856373222,13.165292672803766,Recession,10.240739476957668,0,0.101
22,3994.966421502322,2729.841480295143,9712.36181028139,36,269.787828063372,11.17489016973947,0.06753193884466174,0.0988291188374071,Unsecured,Equal Installment,Manufacturing,0.1796304257336534,14.040824054702654,Recovery,9.740459012506314,0,0.095
44,4544.369956619513,3153.2406764372804,20700.62575162871,9,2300.0695279587458,21.596265148801947,0.5061360650464586,0.7294303746447612,Unsecured,Interest Only,Salaried,0.5184896742641242,14.197453378953107,Recovery,11.065139055454528,0,0.188
64,2466.4349301052316,1396.76631160495,23167.485405014184,42,551.6067953574806,17.505961606042234,0.22364538736643094,0.39491702425415637,Unsecured,Equal Installment,Agriculture,0.49392221609647996,13.110087851184739,Growth,9.226559510223169,0,0.098
50,2487.1104690606294,2184.3775393205706,19332.925797805656,22,878.7693544457117,13.65471052568135,0.3533294420885209,0.4022973769996941,Secured,Interest Only,Trade,0.46787091326335545,12.193440809803208,Growth,11.986047048489448,0,0.091
58,2336.8250719835933,1962.9100394496281,21485.540717928474,44,488.3077435892835,8.784663257219911,0.20896204403301263,0.24876725564366567,Secured,Bullet,SME,0.4445010010555506,13.33079583716111,Recovery,9.3879122320598,0,0.099
22,4156.620382458434,3190.658944694078,21578.618100761687,53,407.1437377502205,13.301625682079226,0.09795066671674628,0.12760490695104915,Secured,Bullet,Agriculture,0.2792707649792415,13.679365970454844,Recession,12.405570808456508,0,0.116
41,4168.268937024149,2854.9233591692678,13498.176344652544,51,264.6701244049518,14.117947661369318,0.06349641263644272,0.09270656024964752,Unsecured,Equal Installment,Manufacturing,0.459735829054941,13.314232791148328,Growth,14.64801961673443,0,0.125
53,4663.083985549319,3099.5809138801646,31988.660576094946,31,1031.892276648224,16.476129325801022,0.22128966148712104,0.3329134826025448,Unsecured,Bullet,Agriculture,0.1676482459134817,14.48100383054965,Growth,8.842034939575479,0,0.139
32,4210.323539818603,3201.4853349265,29982.054672609724,53,565.6991447662213,17.42902603863862,0.13436001756544194,0.17669896488193929,Unsecured,Bullet,Manufacturing,0.49029515395421974,11.78300648169404,Recovery,10.608273628114485,0,0.139
42,1041.3383046857775,747.8607916268013,29519.291177929343,44,670.892981316576,18.22632838164294,0.6442603506446611,0.8970827041984654,Unsecured,Equal Installment,Manufacturing,0.1905332437639825,12.163628778827725,Recession,12.383992139106265,1,0.132
64,3337.157185101839,1751.7046496438563,28109.405924350907,46,611.0740418337153,8.554130276645811,0.18311215442944964,0.3488453615499362,Secured,Bullet,Manufacturing,0.42833865643320157,14.314419033278469,Growth,9.692427935055779,0,0.113
45,1729.9375165835374,1219.6077820742616,7400.164244535808,9,822.2404716150899,15.83401928465297,0.47530067631514045,0.6741843432785047,Secured,Equal Installment,Salaried,0.38421558326519695,11.232376203381683,Growth,12.392961682479996,0,0.075
47,2384.5027500343012,1961.4000321888761,27408.49902249573,35,783.0999720713065,14.361536699007154,0.3284122746597971,0.39925561293959266,Secured,Interest Only,Trade,0.2470388269276336,12.3527371275022,Recession,12.66619658195522,0,0.1
62,3204.713044297036,2191.049332627056,25244.811420396065,35,721.2803262970305,25.711909104679513,0.2250686149827326,0.32919401473823473,Secured,Interest Only,Agriculture,0.027577931345271547,12.122151646328366,Growth,14.249785328882911,0,0.101
48,4002.6784780198846,2084.525428917159,7707.811080449734,27,285.47448446110127,15.258777756385484,0.07132086327411559,0.13694938929547898,Secured,Interest Only,Trade,0.5703076004290429,11.122954118383637,Recession,9.182029861745264,1,0.085
36,1930.9879890587067,1572.8114981570634,18280.717158799373,16,1142.5448224249608,12.509387206154514,0.5916892434851,0.7264346832177497,Secured,Equal Installment,SME,0.36290162650219815,12.775421434430903,Recovery,8.171674279308576,0,0.119
35,500.0,290.27275642719485,22214.347594602306,7,3173.4782278003295,15.44147542686766,6.346956455600659,10.932745693605213,Unsecured,Equal Installment,Agriculture,0.27197951974525986,13.895552631866144,Growth,10.077267831308768,0,1.0
64,3216.6370101665175,1941.0742447236705,33314.53678499708,49,679.888505816267,14.965726847956935,0.21136625104648374,0.35026403944330076,Unsecured,Bullet,Trade,0.32062222572817095,13.187593498625324,Recovery,8.0967429813587,0,0.111
23,6172.285900078261,3492.7888312165173,25797.79086315407,17,1517.5171095972983,7.043842771395939,0.245859821493048,0.43447147334949426,Secured,Bullet,Trade,0.06848935279224207,13.959524542362493,Recession,12.69349461214249,0,0.152
57,2756.584536395817,1742.398564801793,13083.474181773587,35,373.8135480506739,16.633217853671347,0.13560750382044448,0.2145396326661903,Unsecured,Bullet,SME,0.1451965604342744,14.430347161171568,Recovery,7.514746099470766,0,0.091
27,3056.2985219403104,2453.292664295067,33563.10766761571,41,818.6123821369686,13.757767637285673,0.267844379814465,0.33367905674319126,Secured,Bullet,Manufacturing,0.48906939996118465,12.537241886865377,Recovery,17.999049254758063,0,0.116
41,5138.596342243294,3636.863882265576,20350.23810171111,23,884.7929609439614,14.893235139357925,0.17218572972355678,0.24328459617597278,Secured,Bullet,Agriculture,0.5707999278834134,16.176215227586475,Recovery,14.887783584721252,0,0.144
